IP,PORT,匿名度,类型,位置,响应速度,最后验证时间
117.90.7.224,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,1秒,2017-04-13 12:35:00,
27.18.118.101,808,高匿名,HTTP,中国 湖北省 武汉市 电信,3秒,2017-04-06 14:34:43,
27.18.9.117,8998,高匿名,HTTP,中国 湖北省 武汉市 电信,1秒,2017-04-06 13:34:28,
119.39.112.84,8081,高匿名,HTTP,中国 湖南省 长沙市 联通,3秒,2017-04-06 12:34:39,
220.189.191.2,8998,高匿名,HTTP,中国 浙江省 台州市 电信,1秒,2017-04-06 11:34:38,
182.38.113.84,808,高匿名,HTTP,中国 山东省 威海市 电信,2秒,2017-04-06 10:34:25,
110.73.1.89,8123,高匿名,HTTP,广西壮族自治区南宁市  联通,0.8秒,2017-04-06 09:34:46,
121.232.145.115,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,1秒,2017-04-06 08:34:37,
118.26.183.215,8080,高匿名,HTTP,中国 北京市 北京市,2秒,2017-04-06 07:34:35,
14.216.162.50,8998,高匿名,HTTP,中国 广东省 东莞市 电信,1秒,2017-04-06 06:34:23,
218.104.148.157,8080,高匿名,HTTP,湖南省长沙市 联通,2秒,2017-04-06 05:34:44,
58.217.8.244,808,高匿名,HTTP,中国 江苏省 镇江市 电信,1秒,2017-04-06 04:34:31,
182.99.240.231,9000,高匿名,HTTP,江西省萍乡市  电信,1秒,2017-04-06 03:34:32,
112.113.118.163,8998,高匿名,HTTP,中国 云南省 德宏傣族景颇族自治州 电信,2秒,2017-04-06 02:34:41,
182.42.18.101,8998,高匿名,HTTP,中国 山东省 烟台市 电信,3秒,2017-04-06 01:34:40,
110.73.12.12,8123,高匿名,HTTP,广西壮族自治区南宁市  联通,3秒,2017-04-06 00:34:39,
114.99.7.90,9000,高匿名,HTTP,安徽省铜陵市  电信,2秒,2017-03-29 11:38:27,
112.95.26.7,8118,高匿名,HTTP,中国 广东省 深圳市 联通,0.8秒,2017-03-29 10:38:26,
123.171.60.63,808,高匿名,HTTP,中国 山东省 聊城市 电信,2秒,2017-03-29 09:38:22,
113.93.187.251,808,高匿名,HTTP,中国 广东省 江门市 电信,3秒,2017-03-29 08:38:21,
121.232.144.25,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,3秒,2017-03-29 07:37:59,
110.73.6.162,8123,高匿名,HTTP,广西壮族自治区南宁市  联通,2秒,2017-03-29 06:38:08,
112.87.238.24,8081,高匿名,HTTP,中国 江苏省 苏州市 联通,0.7秒,2017-03-29 05:38:15,
121.232.144.148,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,0.7秒,2017-03-29 04:38:17,
121.232.147.16,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,0.5秒,2017-03-29 03:38:24,
180.116.18.19,808,高匿名,HTTP,中国 江苏省 常州市 电信,2秒,2017-03-29 02:38:14,
112.102.104.121,8998,高匿名,HTTP,中国 黑龙江省 哈尔滨市 电信,2秒,2017-03-29 01:38:14,
60.169.219.198,8998,高匿名,HTTP,中国 安徽省 宿州市 电信,2秒,2017-03-29 00:38:18,
121.226.174.73,808,高匿名,HTTP,中国 江苏省 宿迁市 电信,1秒,2017-03-28 23:38:09,
117.90.5.67,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,1秒,2017-03-28 22:38:21,
117.90.1.205,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,2秒,2017-03-28 21:38:18,
61.160.254.23,23,高匿名,HTTP,中国 江苏省 常州市 电信,3秒,2017-03-21 08:36:46,
121.232.145.46,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,2秒,2017-03-21 07:36:33,
119.29.184.198,8118,高匿名,HTTP,中国 广东省 广州市 腾讯网络,2秒,2017-03-21 06:36:45,
118.26.183.215,8080,高匿名,HTTP,中国 北京市 北京市,1秒,2017-03-21 05:36:43,
182.129.242.246,9000,高匿名,HTTP,中国 四川省 遂宁市 电信,0.7秒,2017-03-21 04:36:43,
111.1.3.36,8000,高匿名,HTTP,中国 浙江省 宁波市 移动,0.9秒,2017-03-21 03:36:45,
125.34.81.161,8118,高匿名,HTTP,中国 北京市 北京市 联通,1秒,2017-03-21 02:36:25,
122.96.59.99,81,高匿名,HTTP,中国 江苏省 南京市 联通,1秒,2017-03-21 01:36:42,
125.67.75.101,9000,高匿名,HTTP,中国 四川省 遂宁市 电信,3秒,2017-03-21 00:36:33,
60.182.213.153,8998,高匿名,HTTP,中国 浙江省 金华市 电信,1秒,2017-03-20 23:36:43,
117.175.183.10,8081,高匿名,HTTP,中国 四川省 成都市 移动,1秒,2017-03-20 22:36:40,
121.232.147.112,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,3秒,2017-03-20 21:36:36,
182.244.9.243,8998,高匿名,HTTP,中国 云南省 西双版纳傣族自治州 电信,2秒,2017-03-20 20:36:34,
117.175.183.10,1984,高匿名,HTTP,中国 四川省 成都市 移动,1秒,2017-03-20 19:36:30,
121.232.148.164,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,1秒,2017-03-20 18:36:37,
1.82.146.32,8998,高匿名,HTTP,中国 陕西省 宝鸡市 电信,1秒,2017-03-13 05:34:51,
58.52.201.119,8080,高匿名,HTTP,中国 湖北省 恩施土家族苗族自治州 电信,2秒,2017-03-13 04:34:45,
183.214.114.77,8998,高匿名,HTTP,中国 湖南省 湘潭市 移动,0.7秒,2017-03-13 03:35:04,
121.232.146.153,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,0.8秒,2017-03-13 02:34:53,
121.232.147.88,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,0.5秒,2017-03-13 01:34:58,
117.90.5.37,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,2秒,2017-03-13 00:34:43,
121.232.144.30,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,3秒,2017-03-12 23:34:43,
121.232.144.180,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,3秒,2017-03-12 22:35:01,
122.238.29.59,8998,高匿名,HTTP,中国 浙江省 温州市 电信,1秒,2017-03-12 21:34:54,
117.69.62.71,8998,高匿名,HTTP,中国 安徽省 淮南市 电信,1秒,2017-03-12 20:35:03,
120.27.49.85,8090,高匿名,HTTP,中国 山东省 青岛市 阿里云,0.4秒,2017-03-12 19:34:52,
183.154.212.250,9000,高匿名,HTTP,浙江省金华市  电信,1秒,2017-03-12 18:35:02,
121.232.146.35,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,2秒,2017-03-12 17:34:57,
202.197.127.139,1209,高匿名,HTTP,中国 湖南省 长沙市 教育网,1秒,2017-03-12 16:34:54,
110.191.168.52,8998,高匿名,HTTP,中国 四川省 成都市 电信,3秒,2017-03-12 15:34:58,
